n_jobs,outer_split_num,hp1,hp2,accuracy,roc_auc,sens,spec,ppv,npv
10,1,0,3.3546262790251185e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,3.711182180830607e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,4.1056356308390727e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,4.542014676693318e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,5.024775498424193e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,5.558847913707192e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,6.149685719773453e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,6.803322386052523e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,7.526432666264533e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,8.326400759127061e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,9.211395713714736e-4,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00101904548494898,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00112735760428657,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00124718198227078,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.0013797422317342,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00152639202064544,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.0016886288953855,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00186810957327012,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00206666686048078,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00228632836816574,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
10,1,0,0.00252933721783459,0.45913978494623653,0.4632996632996633,0.5313725490196078,0.4226190476190476,0.47213622291021673,0.4686274509803921
